Brand,Product_Name,Duplicate_Count
gaviscon,Gaviscon Dual Action Heartburn & Indigestion Chewable Tablets,3
golden circle,Golden Circle Tropical Punch Fruit Drink,3
essentials,Essentials White Sugar,3
finish,Finish 0% Dishwasher Tablets,3
finish,Finish Powerball All In 1 Max Dishwasher Tablets Lemon,3
essentials,Essentials Crispbread & Cheese French Onion Dip,3
equal,Equal Sweetener Tablets,3
essentials,Essentials Raw Sugar,3
energizer,Energizer Max Aa Batteries,3
energizer,Energizer Max Aaa Batteries,3
eveready,Eveready Gold Aa Batteries,3
eveready,Eveready Gold Aaa Batteries,3
devondale,Devondale Dairy Soft Butter Blend,3
devondale,Devondale Dairy Soft Salt Reduced Butter Blend,3
cobs,Cobs Popcorn Lightly Salted Slightly Sweet Gluten Free,3
decor,Decor Tellfresh Storer Oblong,3
decor,Decor Tellfresh Storer Oblong Tall,3
decor,Decor Thermoglass Baking Dish Realseal,3
NULL,Easy Vegetarian Frittata Dinner Bundle,3
colgate,Colgate Total Original Antibacterial Fluoride Toothpaste,3
csr,Csr Raw Sugar,3
csr,Csr White Sugar,3
dairyworks,Dairyworks Colby Cheese & Rice Crackers,3
decor,Decor Glass Deluxe Clips Leak Proof Oblong,3
decor,Decor Glass Vent & Seal Leak Proof Oblong,3
decor,Decor Glass Vent & Seal Leak Proof Round,3
love luna,Love Luna Midi Period Brief,3
nestle,Nestle Carnation Creamy Evaporated Milk,3
nestle,Nestle Carnation Light & Creamy Evaporated Milk,3
nestle,Nestle Sweetened Condensed Milk,3
nestle,Nestle Sweetened Skim Condensed Milk,3
just veg.,Just Veg. Carrot Sticks,3
listerine,Listerine Fresh Burst Mouthwash,3
mayver's,Mayver's Smooth Peanut Butter,3
mckenzie's,Mckenzie's Bi Carb Soda,3
meadowlea,Meadowlea Original Spread Original,3
john west,John West Salmon Pink,3
john west,John West Salmon Red,3
jacob's creek,Jacob's Creek Sparkling Chardonnay Pinot Noir,3
head & shoulders,Head & Shoulders Clean & Balanced Shampoo,3
heinz,Heinz Baked Beans Ham Sauce,3
heinz,Heinz Baked Beans No Added Sugar,3
head & shoulders,Head & Shoulders Ultra Men Shampoo Old Spice,3
head & shoulders,Head & Shoulders Smooth & Silky Shampoo,3
golden circle,Golden Circle Apple & Blackcurrant Juice,3
golden circle,Golden Circle Golden Pash Fruit Drink,3
head & shoulders,Head & Shoulders Ultra Men Shampoo Deep Clean,3
hot hands,Hot Hands Hand Warmers,3
kraft,Kraft Easy Mac Classic Cheese,3
lindt,Lindt Lindor Chocolate Balls Assorted,3
laucke,Laucke Crusty White Bread Mix,3
laughing cow,Laughing Cow Cheese Light,3
laughing cow,Laughing Cow Cheese Original,3
kikkoman,Kikkoman Soy Sauce Soy,3
kraft,Kraft Parmesan Cheese Cannister,3
kraft,Kraft Singles Original,3
kellogg's,Kellogg's Nutri-grain Protein Breakfast Cereal,3
kellogg's,Kellogg's Rice Bubbles Puffed Rice Breakfast Cereal,2
kellogg's,Kellogg's Special K Original Breakfast Cereal,2
kellogg's,Kellogg's Sultana Bran High Fibre Breakfast Cereal,2
kettle,Kettle Multipack Sea Salt,2
kewpie,Kewpie Japanese Mayonnaise,2
kez's,Kez's Free Gluten Free Vienna Eclairs,2
kez's,Kez's Kitchen Gluten & Dairy Free Melting Moment Biscuits,2
NULL,Ki Bulgarian Sheep Cheese,2
heinz,Heinz Spaghetti Tomato Sauce & Cheese,2
helga's,Helga's Bread Light Rye,2
helga's,Helga's Low Carb Wraps,2
helga's,Helga's Spinach & Herb Wraps,2
helga's,Helga's Wholemeal & Seed Lower Carb,2
helga's,Helga's Wholemeal Bread With Grains,2
helga's,Helga's Wholemeal Wraps,2
helga's,Helga's Wraps Mixed Grain,2
helga's,Helga's Wraps Traditional White,2
hellmann's,Hellmann's Mayo Squeeze,2
hellmann's,Hellmann's Real Mayo Jar Real Mayonnaise,2
hercules,Hercules Click Zip Large Resealable Twinzip Sandwich Bags,2
kleenex,Kleenex Facial Tissue Cube,2
kleenex,Kleenex Facial Tissue Eucalyptus,2
kleenex,Kleenex Facial Tissue Kids,2
kleenex,Kleenex Facial Tissue Soft & Thick,2
kleenex,Kleenex Facial Tissue Soft Pack,2
kleenex,Kleenex Facial Tissues,2
kleenex,Kleenex Facial Tissues Aloe Vera,2
kleenex,Kleenex Facial Tissues Extra Care Aloe Vera White,2
kleenex,Kleenex Facial Tissues Extra Care Eucalyptus,2
kleenex,Kleenex Facial Tissues Large & Thick Silk Touch 3ply,2
kleenex,Kleenex Facial Tissues Pocket Pack 4ply,2
kleenex,Kleenex Large & Thick Aloe Vera & Vitamin E Facial Tissues,2
kleenex,Kleenex To Go Facial Tissues Aloe Vera Pocket Pack,2
kleenex,Kleenex Toilet Tissue Double Length,2
korbond,Korbond Party Balloons Assorted Colours,2
la casa,La Casa Burrata,2
la casa,La Casa Cherry Bocconcini,2
la casa,La Casa Del Formaggio Bambini Bocconcini,2
la casa,La Casa Del Formaggio Fresh Mozzarella,2
la casa,La Casa Del Formaggio Mozzarella Ball,2
